"Producto,""Creado el"",""Valor unitario"""
"ANILLO BOMBE (1) (17),""2025-10-23 15:34:53"",""0.0"""
"ANILLO BOMBE (1) (17),""2025-10-23 15:41:18"",""0.0"""
"Prueba,""2025-10-30 12:39:34"",""0.0"""
"[101389] PORTALENTES LUZ (BRIDGE, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[101292] PORTACINTO LOU (FIORENTINO, CEDRO),""2025-12-05 18:47:34"",""0.0"""
"[101293] PORTACINTO LOU (MODENA, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101294] PORTACINTO LOU (MODENA, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[100782] CINTURON TINO (90, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101184] MORRAL LUCAS (NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101077] MOCHILA MARCOS (NAPADO, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[101076] MOCHILA MARCOS (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101642] SOBRE GEMINI (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101644] SOBRE GEMINI (NAPADO, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[100069] BANDOLERA NATY SIMPLE (GAMUZA, VESUBIO/TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101801] TARJETERO VINCENT (NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101778] TARJETERO ROMA (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101779] TARJETERO ROMA (BRIDGE, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[100603] CARTUCHERA MONT (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100577] CARTERA MINI APHOLO SET SOBRE (GAMUZA, AVELLANA/TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101640] SOBRE GEMINI (NAPADO, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100502] CARTERA DOS HEBILLAS NEW (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[101643] SOBRE GEMINI (NAPADO, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[101692] TARJETERO ARIES (BRIDGE, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101421] PORTALENTES ORION (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[101425] PORTALENTES ORION (BRIDGE, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101430] PORTALENTES ORION (NAPADO, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[101443] PORTAPASAPORTE CHESTER (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[101447] PORTAPASAPORTE CHESTER (BRIDGE, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[101446] PORTAPASAPORTE CHESTER (BRIDGE, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[101445] PORTAPASAPORTE CHESTER (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101463] PORTAPASAPORTE RON (BRIDGE, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[101726] TARJETERO HARRY (BRIDGE, ROJO),""2025-12-05 18:47:34"",""0.0"""
"[100187] BILLETERA LUCA (BRIDGE, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100190] BILLETERA LUCA (BRIDGE, TABACO),""2025-12-05 18:47:34"",""0.0"""
"[100202] BILLETERA LUCA (NAPADO, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[100198] BILLETERA LUCA (NAPADO, CARAMELO),""2025-12-05 18:47:34"",""0.0"""
"[100200] BILLETERA LUCA (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100224] BILLETERA OSADIA (NAPADO, SUELA),""2025-12-05 18:47:34"",""0.0"""
"[100222] BILLETERA OSADIA (NAPADO, NEGRO),""2025-12-05 18:47:34"",""0.0"""
"[100217] BILLETERA OSADIA (BRIDGE, ROJO),""2025-12-05 18:47:34"",""0.0"""
