Tipo;Ítem inventariable;Producto con variantes;Venta en negativo;Nombre;Referencia;Unidad de medida;Categoría;Descripción;Costo inicial;Precio base;Impuesto;Precio total;Precio: General;Código cuenta contable;Cuenta contable;Código cuenta de inventario;Cuenta de inventario;Código cuenta de costo de venta;Cuenta de costo de venta;Código de barras
Producto;Si;No;Si;CINTURON LOPA NIQUEL SUELA 85;MC040480102-85;Unidad;CINTURON;CINTURON;89990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;MORRAL LUCAS BRIDGE NEGRO;MG010410301;Unidad;MARRO GRANDE;BANDOLERA;244990;224990;;224990;224990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;MORRAL LUCAS BRIDGE TABACO;MG010410304;Unidad;MARRO GRANDE;BANDOLERA;244990;224990;;224990;224990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CINTURON LOPA NIQUEL SUELA 95;MC040480102-95;Unidad;CINTURON;CINTURON;89990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CINTURON LOPA NIQUEL SUELA 100;MC040480102-100;Unidad;CINTURON;CINTURON;89990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;MORRAL LUCAS BRIDGE GRIS;MG010410312;Unidad;MARRO GRANDE;BANDOLERA;29990;224990;;224990;224990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO PISCIS BRIDGE NAPO SUELA;MC020500302;Unidad;MARRO CHICA;MONEDERO;6990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO PISCIS BRIDGE NEGRO;MC020500301;Unidad;MARRO CHICA;MONEDERO;6990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO PISCIS BRIDGE AZUL;MC020500309;Unidad;MARRO CHICA;MONEDERO;6990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO PISCIS BRIDGE VERDE;MC020500310;Unidad;MARRO CHICA;MONEDERO;6990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO PISCIS BRIDGE ROJO;MC020500307;Unidad;MARRO CHICA;MONEDERO;6990;6990;;6990;6990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;TARJETERO PISCIS BRIDGE GRIS;MC020500312;Unidad;MARRO CHICA;MONEDERO;490;490;;490;490;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;BANDOLERA CASIOPEA NAPADO NEGRO;MG010820101;Unidad;MARRO GRANDE;BANDOLERA;124990;129990;;129990;129990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CINTURON LOPA NIQUEL SUELA 105;MC040480102-105;Unidad;CINTURON;CINTURON;89990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
Producto;Si;No;Si;CINTURON LOPA NIQUEL SUELA 110;MC040480102-110;Unidad;CINTURON;CINTURON;89990;99990;;99990;99990;;Ventas;;Mercaderías;;Costo de la mercadería;
