WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"jueves, 26/12/2024",Voided,12:55:55,Voided,1421410,VENEZUELA,1234,11065408315117017865,"100,00","13,00"
"sábado, 28/12/2024",Issued,15:31:46,Issued,1421410,CHILE,7718,11065408315117020675,"59.990,00","7.798,70"
"domingo, 29/12/2024",Issued,17:53:39,Processed by Global Blue,1421410,JAPAN,7328,11065408315117022213,"130.980,00","17.027,40"
"lunes, 30/12/2024",Issued,11:20:42,Processed by Global Blue,1421410,GERMANY,7733,11065408315117022672,"269.990,00","35.098,70"
"lunes, 30/12/2024",Issued,15:38:08,Processed by Global Blue,1421410,NORWAY,7742,11065408315117023510,"239.960,00","31.194,80"
"martes, 31/12/2024",Issued,12:36:47,Issued,1421410,UNITED STATES,7762,11065408315117025044,"9.990,00","1.298,70"
"martes, 31/12/2024",Issued,12:50:22,Processed by Global Blue,1421410,UNITED STATES,7765,11065408315117025102,"89.970,00","11.696,10"
"martes, 31/12/2024",Issued,12:55:52,Processed by Global Blue,1421410,GERMANY,7766,11065408315117025125,"515.970,00","72.235,80"
"martes, 31/12/2024",Issued,14:53:52,Issued,1421410,INDIA,7768,11065408315117025538,"251.930,00","32.750,90"
"jueves, 02/01/2025",Issued,17:50:48,Processed by Global Blue,1421410,UNITED KINGDOM,7794,11065408315117027255,"224.970,00","29.246,10"
"jueves, 02/01/2025",Issued,17:56:57,Processed by Global Blue,1421410,UNITED KINGDOM,7796,11065408315117027303,"272.960,00","35.484,80"
"viernes, 03/01/2025",Issued,18:02:59,Issued,1421410,COLOMBIA,7813,11065408315117029034,"99.990,00","12.998,70"
"sábado, 04/01/2025",Issued,15:08:44,Processed by Global Blue,1421410,UNITED STATES,7825,11065408315117029941,"179.980,00","23.397,40"
"sábado, 04/01/2025",Issued,16:23:44,Issued,1421410,PERU,7826,11065408315117030277,"24.980,00","3.247,40"
"sábado, 04/01/2025",Issued,18:30:47,Issued,1421410,FRANCE,7829,11065408315117030713,"380.960,00","53.334,40"
"sábado, 04/01/2025",Issued,18:41:35,Processed by Global Blue,1421410,FRANCE,7830,11065408315117030766,"419.980,00","58.797,20"
"domingo, 05/01/2025",Issued,10:35:23,Issued,1421410,ROMANIA,7933,11065408315117031158,"28.990,00","3.768,70"
"domingo, 05/01/2025",Issued,15:37:43,Issued,1421410,CHILE,7842,11065408315117031557,"51.990,00","6.758,70"
"lunes, 06/01/2025",Issued,12:00:03,Issued,1421410,MEXICO,7858,11065408315117032182,"79.980,00","10.397,40"
"lunes, 06/01/2025",Issued,12:04:56,Issued,1421410,UNITED STATES,7859,11065408315117032202,"59.980,00","7.797,40"
"lunes, 06/01/2025",Issued,14:37:10,Processed by Global Blue,1421410,UNITED STATES,7862,11065408315117032583,"171.990,00","22.358,70"
