WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"domingo, 1/2/2026",Issued,16:34:13,Processed by Global Blue,1453197,CHINA,43850,11065408407117597584,"159,990.00","20,798.70"
"domingo, 1/2/2026",Issued,16:36:03,Processed by Global Blue,1453197,CHINA,849,11065408407117597597,"259,990.00","33,798.70"
"domingo, 1/2/2026",Issued,16:37:49,Processed by Global Blue,1453197,CHINA,848,11065408407117597606,"79,990.00","10,398.70"
"domingo, 1/2/2026",Issued,16:43:28,Processed by Global Blue,1453197,CHINA,851,11065408407117597634,"159,990.00","20,798.70"
"domingo, 1/2/2026",Issued,16:52:04,Processed by Global Blue,1453197,CHINA,852,11065408407117597652,"364,950.00","47,443.50"
"domingo, 1/2/2026",Issued,16:56:44,Processed by Global Blue,1453197,CHINA,43853,11065408407117597675,"165,990.00","21,578.70"
"domingo, 1/2/2026",Issued,19:17:22,Processed by Global Blue,1453197,CHINA,43856,11065408407117597917,"46,980.00","6,107.40"
"domingo, 1/2/2026",Issued,19:30:09,Processed by Global Blue,1453197,CHINA,857,11065408407117597929,"63,970.00","8,316.10"
"domingo, 1/2/2026",Issued,19:46:17,Processed by Global Blue,1453197,CHINA,858,11065408407117597938,"59,980.00","7,797.40"
"domingo, 1/2/2026",Issued,19:54:55,Processed by Global Blue,1453197,CHINA,43859,11065408407117597940,"199,980.00","25,997.40"
"lunes, 2/2/2026",Issued,17:37:53,Processed by Global Blue,1453197,NEW ZEALAND,43869,11065408407117598555,"70,970.00","9,226.10"
"martes, 3/2/2026",Issued,10:17:30,Issued,1453197,"KOREA, REPUBLIC OF",878,11065408407117598868,"99,990.00","12,998.70"
"martes, 3/2/2026",Issued,12:06:54,Processed by Global Blue,1453197,PERU,879,11065408407117598966,"301,930.00","39,250.90"
"martes, 3/2/2026",Issued,13:34:41,Issued,1453197,RUSSIAN FEDERATION,884,11065408407117599065,"129,990.00","16,898.70"
