WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"jueves, 06/02/2025",Voided,13:55:40,Voided,1425384,VENEZUELA,135688,11065408329117057540,"100,00","13,00"
"jueves, 06/02/2025",Voided,14:25:08,Voided,1425384,VENEZUELA,00017-00005666,11065408329117057564,"100,00","13,00"
"domingo, 09/02/2025",Issued,11:11:11,Refunded by Global Blue,1425384,CHINA,00017-0000,11065408329117059877,"259.990,00","33.798,70"
"lunes, 10/02/2025",Issued,11:36:06,Processed by Global Blue,1425384,UNITED STATES,00017-00006133,11065408329117060864,"124.980,00","16.247,40"
"lunes, 10/02/2025",Issued,13:25:38,Processed by Global Blue,1425384,UNITED STATES,00017-00006134,11065408329117060974,"99.990,00","12.998,70"
"viernes, 28/02/2025",Issued,11:37:09,Processed by Global Blue,1425384,MALAYSIA,00017-00006214,11065408329117077167,"64.990,00","8.448,70"
"sábado, 08/03/2025",Issued,17:47:40,Refunded by Global Blue,1425384,AUSTRALIA,00017- 6262,11065408329117088277,"171.990,00","22.358,70"
"viernes, 14/03/2025",Issued,16:51:25,Issued,1425384,ALBANIA,00017-00006306,11065408329117094764,"28.980,00","3.767,40"
"viernes, 14/03/2025",Issued,16:53:19,Issued,1425384,PERU,00017-00006307,11065408329117094772,"13.990,00","1.818,70"
"viernes, 14/03/2025",Issued,17:01:07,Processed by Global Blue,1425384,URUGUAY,00017-00006308,11065408329117094793,"89.990,00","11.698,70"
"miércoles, 19/03/2025",Issued,16:37:35,Processed by Global Blue,1425384,AUSTRIA,00017-00006336,11065408329117100758,"269.960,00","35.094,80"
"sábado, 22/03/2025",Issued,14:36:49,Processed by Global Blue,1425384,UNITED STATES,00017-00006346,11065408329117104401,"165.990,00","21.578,70"
"sábado, 22/03/2025",Issued,14:39:25,Processed by Global Blue,1425384,UNITED STATES,00017-00006347,11065408329117104429,"112.990,00","14.688,70"
"sábado, 22/03/2025",Issued,18:18:42,Issued,1425384,ITALY,00017-00006350,11065408329117105143,"51.990,00","6.758,70"
"lunes, 24/03/2025",Issued,13:54:49,Processed by Global Blue,1425384,UNITED STATES,00017-00006371,11065408329117107242,"233.980,00","30.417,40"
"lunes, 24/03/2025",Issued,15:45:43,Refunded by Global Blue,1425384,ALBANIA,00017-00006374,11065408329117107495,"62.990,00","8.188,70"
"lunes, 24/03/2025",Issued,15:53:28,Issued,1425384,COLOMBIA,00017-00006375,11065408329117107509,"399.990,00","55.998,60"
"miércoles, 26/03/2025",Issued,11:07:37,Processed by Global Blue,1425384,FRANCE,00017-00006380,11065408329117110171,"26.990,00","3.508,70"
"miércoles, 26/03/2025",Issued,16:07:35,Issued,1425384,UNITED STATES,00017-00006386,11065408329117110660,"189.980,00","24.697,40"
"miércoles, 26/03/2025",Issued,16:12:02,Issued,1425384,UNITED STATES,00017-00006383,11065408329117110673,"224.990,00","29.248,70"
"miércoles, 26/03/2025",Issued,17:50:51,Issued,1425384,UNITED STATES,00017-00006389,11065408329117110953,"126.970,00","16.506,10"
"jueves, 27/03/2025",Issued,15:24:33,Issued,1425384,AFGHANISTAN,00017-00006390,11065408329117111805,"84.990,00","11.048,70"
"domingo, 30/03/2025",Issued,10:31:05,Refunded by Global Blue,1425384,UNITED KINGDOM,00017-00006403,11065408329117115433,"171.990,00","22.358,70"
"lunes, 31/03/2025",Issued,10:25:06,Issued,1425384,BRAZIL,00017-00006414,11065408329117116447,"189.990,00","24.698,70"
"miércoles, 02/04/2025",Issued,16:11:53,Issued,1425384,CANADA,00017-00006428,11065408329117119025,"14.990,00","1.948,70"
"martes, 08/04/2025",Issued,13:48:09,Issued,1425384,UNITED KINGDOM,00017-00006449,11065408329117125543,"110.980,00","14.427,40"
"martes, 08/04/2025",Issued,15:47:12,Issued,1425384,AUSTRIA,00017-00006451,11065408329117125781,"337.980,00","43.937,40"
"miércoles, 09/04/2025",Issued,12:51:47,Issued,1425384,GUYANA,00017-00006452,11065408329117126854,"215.980,00","28.077,40"
"sábado, 12/04/2025",Issued,19:14:14,Issued,1425384,MEXICO,00017-00006469,11065408329117132599,"279.990,00","36.398,70"
"martes, 15/04/2025",Issued,15:29:55,Issued,1425384,MEXICO,00017-00006485,11065408329117137103,"279.990,00","36.398,70"
"martes, 15/04/2025",Issued,17:22:29,Issued,1425384,PERU,00017-00006486,11065408329117137470,"71.990,00","9.358,70"
"martes, 15/04/2025",Issued,17:29:39,Issued,1425384,PERU,00017-00006487,11065408329117137502,"16.990,00","2.208,70"
"martes, 15/04/2025",Issued,17:33:23,Issued,1425384,PERU,00017-00006488,11065408329117137518,"16.990,00","2.208,70"
"jueves, 17/04/2025",Issued,13:52:30,Issued,1425384,ITALY,00017-00006496,11065408329117140745,"279.990,00","36.398,70"
"domingo, 20/04/2025",Issued,16:03:02,Issued,1425384,BRAZIL,00017-00006522,11065408329117149139,"124.980,00","16.247,40"
"domingo, 27/04/2025",Issued,11:59:30,Processed by Global Blue,1425384,UNITED STATES,00017-00006545,11065408329117159898,"134.990,00","17.548,70"
"domingo, 27/04/2025",Issued,12:06:52,Issued,1425384,UNITED STATES,00017-00006546,11065408329117159931,"17.990,00","2.338,70"
"domingo, 27/04/2025",Issued,12:14:34,Processed by Global Blue,1425384,PERU,00017-00006547,11065408329117159949,"29.990,00","3.898,70"
"viernes, 02/05/2025",Issued,13:08:45,Processed by Global Blue,1425384,UNITED STATES,00017-00006563,11065408329117164564,"282.940,00","36.782,20"
"viernes, 02/05/2025",Issued,13:10:04,Processed by Global Blue,1425384,UNITED STATES,00017-00006564,11065408329117164586,"119.990,00","15.598,70"
"sábado, 03/05/2025",Issued,13:40:56,Issued,1425384,MEXICO,00017-00006577,11065408329117166850,"217.980,00","28.337,40"
"domingo, 04/05/2025",Issued,14:06:43,Refunded by Global Blue,1425384,BRAZIL,00017-00006589,11065408329117168767,"278.940,00","36.262,20"
"domingo, 04/05/2025",Issued,14:09:51,Processed by Global Blue,1425384,CHILE,00017-00006590,11065408329117168780,"199.980,00","25.997,40"
"domingo, 11/05/2025",Issued,11:36:34,Issued,1425384,CHINA,00017-00006625,11065408329117176346,"15.990,00","2.078,70"
"domingo, 11/05/2025",Issued,11:58:14,Issued,1425384,ITALY,00017-00006626,11065408329117176367,"29.990,00","3.898,70"
"domingo, 11/05/2025",Issued,13:04:50,Refunded by Global Blue,1425384,PERU,00017-00006628,11065408329117176474,"149.990,00","19.498,70"
