WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"domingo, 1/3/2026",Issued,16:46:00,Processed by Global Blue,1458129,UNITED STATES,45-576,11065408422117633851,"717,960.00","100,514.40"
"miércoles, 4/3/2026",Issued,11:45:23,Issued,1458129,UNITED KINGDOM,45-584,11065408422117636413,"129,990.00","16,898.70"
"jueves, 5/3/2026",Issued,12:02:40,Processed by Global Blue,1458129,FRANCE,45-591,11065408422117637639,"169,980.00","22,097.40"
"jueves, 5/3/2026",Issued,13:14:47,Issued,1458129,PERU,45-592,11065408422117637734,"79,990.00","10,398.70"
"jueves, 5/3/2026",Issued,13:38:12,Issued,1458129,MEXICO,45-594,11065408422117637809,"204,980.00","26,647.40"
"domingo, 8/3/2026",Issued,12:01:18,Issued,1458129,HONG KONG,45-604,11065408422117641983,"149,990.00","19,498.70"
"lunes, 9/3/2026",Issued,16:29:38,Issued,1458129,FRANCE,45-617,11065408422117643713,"84,990.00","11,048.70"
"viernes, 13/3/2026",Issued,15:40:42,Issued,1458129,UNITED STATES,45-634,11065408422117649416,"159,980.00","20,797.40"
"domingo, 15/3/2026",Issued,12:05:18,Issued,1458129,UNITED STATES,45-657,11065408422117652843,"299,990.00","38,998.70"
"domingo, 15/3/2026",Issued,12:57:03,Processed by Global Blue,1458129,MEXICO,45-664,11065408422117653000,"79,990.00","10,398.70"
"lunes, 16/3/2026",Issued,16:39:43,Processed by Global Blue,1458129,SWEDEN,45-681,11065408422117655263,"144,970.00","18,846.10"
"miércoles, 18/3/2026",Issued,14:19:02,Issued,1458129,PERU,45 - 690,11065408422117658273,"239,980.00","31,197.40"
"miércoles, 18/3/2026",Issued,14:21:19,Issued,1458129,PERU,45-691,11065408422117658287,"35,970.00","4,676.10"
"miércoles, 18/3/2026",Issued,17:31:24,Issued,1458129,PANAMA,45-694,11065408422117658764,"73,970.00","9,616.10"
"miércoles, 18/3/2026",Issued,17:33:15,Issued,1458129,PANAMA,45-693,11065408422117658772,"75,950.00","9,873.50"
"jueves, 19/3/2026",Issued,15:00:19,Processed by Global Blue,1458129,MEXICO,45698,11065408422117659882,"59,980.00","7,797.40"
"jueves, 19/3/2026",Issued,15:03:17,Processed by Global Blue,1458129,MEXICO,45699,11065408422117659895,"118,960.00","15,464.80"
"sábado, 21/3/2026",Issued,14:58:18,Issued,1458129,UNITED STATES,45-704,11065408422117663943,"79,990.00","10,398.70"
"domingo, 22/3/2026",Issued,13:51:04,Issued,1458129,FRANCE,45-715,11065408422117666000,"112,980.00","14,687.40"
"lunes, 23/3/2026",Issued,15:52:23,Issued,1458129,UNITED STATES,45-725,11065408422117667985,"16,990.00","2,208.70"
"lunes, 23/3/2026",Issued,15:54:52,Issued,1458129,UNITED STATES,45-726,11065408422117667992,"15,990.00","2,078.70"
"miércoles, 25/3/2026",Issued,13:25:39,Issued,1458129,AUSTRIA,45 -730,11065408422117670700,"99,990.00","12,998.70"
"jueves, 26/3/2026",Issued,14:08:56,Refunded by Global Blue,1458129,FRANCE,45-736,11065408422117672754,"134,980.00","17,547.40"
"viernes, 27/3/2026",Issued,13:29:57,Issued,1458129,UNITED STATES,45-739,11065408422117674350,"165,990.00","21,578.70"
"domingo, 29/3/2026",Issued,13:11:02,Issued,1458129,DOMINICAN REPUBLIC,45-757,11065408422117678807,"139,980.00","18,197.40"
"domingo, 29/3/2026",Issued,13:47:41,Issued,1458129,PERU,45-758,11065408422117679045,"159,990.00","20,798.70"
"domingo, 29/3/2026",Issued,14:45:57,Processed by Global Blue,1458129,CHILE,45-763,11065408422117679362,"349,980.00","45,497.40"
"lunes, 30/3/2026",Issued,12:48:50,Issued,1458129,UNITED STATES,45-772,11065408422117680789,"99,990.00","12,998.70"
"lunes, 30/3/2026",Issued,14:30:18,Issued,1458129,SPAIN,45-774,11065408422117681197,"99,990.00","12,998.70"
"lunes, 30/3/2026",Issued,14:47:36,Issued,1458129,DOMINICAN REPUBLIC,45-775,11065408422117681262,"99,980.00","12,997.40"
"martes, 31/3/2026",Issued,13:59:19,Issued,1458129,SPAIN,45-780,11065408422117683803,"64,990.00","8,448.70"
"martes, 31/3/2026",Issued,17:20:03,Issued,1458129,UNITED STATES,45-781,11065408422117684417,"129,980.00","16,897.40"
"martes, 31/3/2026",Issued,17:33:47,Processed by Global Blue,1458129,CANADA,45-782,11065408422117684486,"126,970.00","16,506.10"

