WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"lunes, 1/12/2025",Issued,11:27:48,Issued,1458129,GUAM,210703,11065408422117498616,"33,980.00","4,417.40"
"martes, 2/12/2025",Issued,14:19:44,Issued,1458129,DENMARK,210711,11065408422117500538,"64,990.00","8,448.70"
"miércoles, 3/12/2025",Issued,16:18:17,Issued,1458129,BELGIUM,021-0721,11065408422117502467,"112,990.00","14,688.70"
"jueves, 4/12/2025",Issued,18:29:19,Issued,1458129,AUSTRALIA,021-0725,11065408422117504273,"134,990.00","17,548.70"
"jueves, 4/12/2025",Issued,18:36:32,Issued,1458129,AFGHANISTAN,021-0726,11065408422117504315,"134,980.00","17,547.40"
"viernes, 5/12/2025",Issued,15:01:47,Processed by Global Blue,1458129,MEXICO,021-0727,11065408422117505675,"212,980.00","27,687.40"
"sábado, 6/12/2025",Issued,16:12:10,Issued,1458129,BRAZIL,021-0738,11065408422117508665,"595,920.00","83,428.80"
"sábado, 6/12/2025",Issued,17:33:46,Issued,1458129,CANADA,210739,11065408422117509091,"349,990.00","45,498.70"
"domingo, 7/12/2025",Issued,12:05:29,Processed by Global Blue,1458129,PERU,021-0744,11065408422117510202,"175,970.00","22,876.10"
"domingo, 7/12/2025",Issued,13:51:10,Issued,1458129,UNITED STATES,210751,11065408422117510717,"21,990.00","2,858.70"
"domingo, 7/12/2025",Issued,13:53:08,Issued,1458129,UNITED STATES,210752,11065408422117510729,"90,980.00","11,827.40"
"lunes, 8/12/2025",Issued,18:03:22,Issued,1458129,SINGAPORE,021-0767,11065408422117513960,"129,990.00","16,898.70"
"miércoles, 17/12/2025",Issued,13:49:19,Processed by Global Blue,1458129,UNITED KINGDOM,45038,11065408422117526578,"79,990.00","10,398.70"
"jueves, 18/12/2025",Issued,16:24:04,Processed by Global Blue,1458129,AUSTRALIA,45-0043,11065408422117528099,"218,970.00","28,466.10"
"sábado, 20/12/2025",Issued,12:02:15,Issued,1458129,UNITED STATES,45057,11065408422117530326,"109,990.00","14,298.70"
"sábado, 20/12/2025",Issued,12:11:17,Issued,1458129,UNITED STATES,45058,11065408422117530361,"96,980.00","12,607.40"
"sábado, 20/12/2025",Issued,12:13:02,Issued,1458129,UNITED STATES,45059,11065408422117530374,"84,990.00","11,048.70"
"sábado, 20/12/2025",Issued,14:43:44,Processed by Global Blue,1458129,CHINA,45060,11065408422117530763,"99,990.00","12,998.70"
"domingo, 21/12/2025",Issued,12:21:46,Issued,1458129,UNITED STATES,45070,11065408422117532305,"349,980.00","45,497.40"
"domingo, 21/12/2025",Issued,12:47:03,Processed by Global Blue,1458129,CHINA,45071,11065408422117532398,"43,980.00","5,717.40"
"domingo, 21/12/2025",Issued,16:56:58,Processed by Global Blue,1458129,UNITED STATES,45-80,11065408422117533067,"154,990.00","20,148.70"
"martes, 23/12/2025",Issued,13:29:17,Processed by Global Blue,1458129,NETHERLANDS,45095,11065408422117535832,"99,990.00","12,998.70"
"viernes, 26/12/2025",Issued,15:19:42,Processed by Global Blue,1458129,BRAZIL,45-108,11065408422117538797,"97,980.00","12,737.40"
"sábado, 27/12/2025",Issued,13:13:48,Issued,1458129,UNITED STATES,45-124,11065408422117540329,"275,930.00","35,870.90"
"domingo, 28/12/2025",Issued,12:41:10,Processed by Global Blue,1458129,ISRAEL,45-132,11065408422117542205,"199,980.00","25,997.40"
"domingo, 28/12/2025",Issued,17:12:07,Processed by Global Blue,1458129,COLOMBIA,450142,11065408422117543240,"99,990.00","12,998.70"
"lunes, 29/12/2025",Issued,15:04:35,Processed by Global Blue,1458129,MEXICO,45-141,11065408422117544934,"129,990.00","16,898.70"
"martes, 30/12/2025",Issued,11:28:58,Issued,1458129,FRANCE,45-148,11065408422117546932,"59,990.00","7,798.70"
"martes, 30/12/2025",Issued,14:42:27,Issued,1458129,CHINA,45-156,11065408422117547740,"169,990.00","22,098.70"
"martes, 30/12/2025",Issued,16:45:13,Issued,1458129,BRAZIL,45-160,11065408422117548366,"29,990.00","3,898.70"
"miércoles, 31/12/2025",Issued,14:54:38,Issued,1458129,BRAZIL,45-166,11065408422117551289,"355,970.00","46,276.10"
"miércoles, 31/12/2025",Issued,15:50:57,Issued,1458129,UNITED STATES,45-169,11065408422117551505,"109,990.00","14,298.70"
"sábado, 3/1/2026",Issued,11:52:41,Issued,1458129,GERMANY,45-191,11065408422117555307,"79,990.00","10,398.70"
"sábado, 3/1/2026",Issued,14:29:19,Issued,1458129,UNITED STATES,45-192,11065408422117556126,"29,990.00","3,898.70"
"sábado, 3/1/2026",Issued,15:21:16,Issued,1458129,UNITED STATES,45-193,11065408422117556427,"74,980.00","9,747.40"
"domingo, 4/1/2026",Issued,13:00:16,Processed by Global Blue,1458129,BRAZIL,45-201,11065408422117558474,"249,980.00","32,497.40"
"domingo, 4/1/2026",Issued,13:40:32,Processed by Global Blue,1458129,CHILE,45-205,11065408422117558627,"189,990.00","24,698.70"
"domingo, 4/1/2026",Issued,14:18:51,Processed by Global Blue,1458129,UNITED STATES,45-208,11065408422117558708,"470,880.00","65,923.20"
"domingo, 4/1/2026",Issued,14:22:21,Processed by Global Blue,1458129,MEXICO,45-210,11065408422117558754,"259,980.00","33,797.40"
"domingo, 4/1/2026",Issued,16:58:34,Issued,1458129,CHILE,45-220,11065408422117559480,"169,960.00","22,094.80"
"domingo, 4/1/2026",Issued,17:02:40,Issued,1458129,CHILE,45-221,11065408422117559507,"99,990.00","12,998.70"
"miércoles, 7/1/2026",Issued,12:29:40,Issued,1458129,UNITED STATES,45-243,11065408422117564715,"99,990.00","12,998.70"
"jueves, 8/1/2026",Issued,15:20:46,Processed by Global Blue,1458129,MEXICO,45-254,11065408422117567085,"99,990.00","12,998.70"
"jueves, 8/1/2026",Issued,17:22:44,Issued,1458129,MEXICO,45-255,11065408422117567457,"59,960.00","7,794.80"
"domingo, 11/1/2026",Issued,11:41:54,Processed by Global Blue,1458129,CHILE,45-263,11065408422117572084,"99,990.00","12,998.70"
"lunes, 12/1/2026",Issued,13:18:00,Processed by Global Blue,1458129,CHINA,45-278,11065408422117573657,"219,980.00","28,597.40"
"martes, 13/1/2026",Issued,13:45:37,Issued,1458129,UNITED STATES,45-280,11065408422117575145,"124,980.00","16,247.40"
"miércoles, 14/1/2026",Issued,12:49:02,Processed by Global Blue,1458129,ITALY,45284,11065408422117576179,"321,960.00","41,854.80"
"jueves, 15/1/2026",Issued,14:37:00,Processed by Global Blue,1458129,AUSTRALIA,45-293,11065408422117577639,"59,990.00","7,798.70"
"viernes, 16/1/2026",Issued,12:26:11,Issued,1458129,UNITED STATES,45-295,11065408422117578697,"139,990.00","18,198.70"
"sábado, 17/1/2026",Issued,11:58:08,Issued,1458129,SPAIN,45-297,11065408422117580115,"89,980.00","11,697.40"
"domingo, 18/1/2026",Issued,11:45:49,Issued,1458129,BRAZIL,45-300,11065408422117581365,"39,990.00","5,198.70"
"domingo, 18/1/2026",Issued,12:16:30,Issued,1458129,FRANCE,45-303,11065408422117581396,"99,980.00","12,997.40"
"domingo, 18/1/2026",Issued,12:26:54,Issued,1458129,BRAZIL,45-306,11065408422117581417,"299,990.00","38,998.70"
"domingo, 18/1/2026",Issued,12:30:55,Issued,1458129,BRAZIL,45-307,11065408422117581429,"49,990.00","6,498.70"
"martes, 20/1/2026",Issued,18:20:10,Issued,1458129,CANADA,45-320,11065408422117584166,"65,990.00","8,578.70"
"viernes, 23/1/2026",Issued,17:35:34,Issued,1458129,PERU,45-325,11065408422117587516,"211,970.00","27,556.10"
"sábado, 24/1/2026",Issued,12:20:34,Issued,1458129,BRAZIL,45-328,11065408422117588195,"64,990.00","8,448.70"
"sábado, 24/1/2026",Issued,18:42:16,Processed by Global Blue,1458129,PERU,45- 333,11065408422117589347,"151,980.00","19,757.40"
"domingo, 25/1/2026",Issued,12:02:27,Issued,1458129,"KOREA, REPUBLIC OF",45-338,11065408422117589830,"404,960.00","56,694.40"
"domingo, 25/1/2026",Issued,13:52:03,Issued,1458129,ISRAEL,45-346,11065408422117590112,"69,990.00","9,098.70"
"domingo, 25/1/2026",Issued,15:03:51,Issued,1458129,CANADA,45-352,11065408422117590242,"64,990.00","8,448.70"
"miércoles, 28/1/2026",Issued,11:52:06,Issued,1458129,MEXICO,45-366,11065408422117593024,"32,980.00","4,287.40"
"jueves, 29/1/2026",Issued,14:53:18,Issued,1458129,NORWAY,45-377,11065408422117594347,"429,990.00","60,198.60"
"sábado, 31/1/2026",Issued,14:35:11,Issued,1458129,UNITED STATES,45-384,11065408422117596494,"189,990.00","24,698.70"
"sábado, 31/1/2026",Issued,14:38:32,Issued,1458129,UNITED STATES,45-385,11065408422117596516,"59,990.00","7,798.70"

