WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"jueves, 4/12/2025",Issued,13:53:31,Processed by Global Blue,1454540,SPAIN,00000273,11065408412117503632,"99,990.00","12,998.70"
"viernes, 5/12/2025",Issued,14:55:01,Issued,1454540,CANADA,00000278,11065408412117505644,"151,970.00","19,756.10"
"miércoles, 24/12/2025",Issued,12:26:36,Issued,1454540,CHINA,046,11065408412117537092,"58,970.00","7,666.10"
"miércoles, 24/12/2025",Issued,12:30:23,Processed by Global Blue,1454540,FRANCE,047,11065408412117537102,"64,990.00","8,448.70"
"miércoles, 31/12/2025",Issued,13:36:36,Issued,1454540,GERMANY,062,11065408412117550833,"83,970.00","10,916.10"
"viernes, 2/1/2026",Issued,11:43:47,Processed by Global Blue,1454540,BRAZIL,064,11065408412117552179,"112,980.00","14,687.40"
"viernes, 2/1/2026",Issued,11:46:59,Processed by Global Blue,1454540,BRAZIL,065,11065408412117552200,"82,960.00","10,784.80"
"viernes, 9/1/2026",Issued,15:52:28,Issued,1454540,UNITED STATES,78,11065408412117568876,"129,990.00","16,898.70"
"jueves, 15/1/2026",Issued,14:19:20,Processed by Global Blue,1454540,UNITED STATES,0085,11065408412117577609,"159,990.00","20,798.70"
"viernes, 23/1/2026",Issued,11:58:18,Processed by Global Blue,1454540,MEXICO,96,11065408412117586706,"139,980.00","18,197.40"
"viernes, 23/1/2026",Issued,12:03:07,Issued,1454540,MEXICO,97,11065408412117586710,"190,950.00","24,823.50"
"viernes, 23/1/2026",Issued,12:05:14,Processed by Global Blue,1454540,MEXICO,98,11065408412117586723,"128,960.00","16,764.80"
"viernes, 23/1/2026",Issued,12:14:57,Issued,1454540,MEXICO,99,11065408412117586734,"159,980.00","20,797.40"
"jueves, 29/1/2026",Issued,13:32:07,Processed by Global Blue,1454540,ALBANIA,104,11065408412117594242,"89,990.00","11,698.70"

