WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"jueves, 06/02/2025",Voided,17:32:34,Voided,1425387,VENEZUELA,00020-0000567,11065408330117057834,"100,00","13,00"
"miércoles, 12/02/2025",Issued,16:58:59,Issued,1425387,UNITED STATES,00020-00007757,11065408330117062814,"26.990,00","3.508,70"
"miércoles, 12/02/2025",Issued,17:19:58,Issued,1425387,UNITED STATES,00020-0000,11065408330117062880,"49.980,00","6.497,40"
"miércoles, 12/02/2025",Issued,17:26:27,Issued,1425387,UNITED STATES,00020-00007759,11065408330117062931,"101.970,00","13.256,10"
"jueves, 13/02/2025",Issued,13:11:09,Processed by Global Blue,1425387,UNITED STATES,00007761,11065408330117063410,"346.960,00","45.104,80"
"lunes, 17/02/2025",Issued,15:46:16,Issued,1425387,UNITED STATES,0000-7787,11065408330117067584,"84.930,00","11.040,90"
"miércoles, 19/02/2025",Issued,13:43:12,Issued,1425387,AUSTRALIA,00000-7801,11065408330117069096,"44.990,00","5.848,70"
"jueves, 20/02/2025",Issued,20:24:09,Processed by Global Blue,1425387,UNITED STATES,7808,11065408330117070032,"325.990,00","42.378,70"
"viernes, 21/02/2025",Issued,12:47:54,Processed by Global Blue,1425387,UNITED STATES,7810,11065408330117070447,"494.930,00","69.290,20"
"viernes, 21/02/2025",Issued,15:32:12,Issued,1425387,UNITED STATES,00000-7812,11065408330117070826,"84.960,00","11.044,80"
"sábado, 22/02/2025",Issued,13:53:26,Processed by Global Blue,1425387,UNITED STATES,7822,11065408330117071860,"199.990,00","25.998,70"
"domingo, 23/02/2025",Issued,14:23:06,Issued,1425387,BRAZIL,7839,11065408330117073068,"272.980,00","35.487,40"
"martes, 25/02/2025",Issued,16:52:56,Processed by Global Blue,1425387,MEXICO,7855,11065408330117075091,"26.990,00","3.508,70"
"martes, 25/02/2025",Issued,16:56:48,Processed by Global Blue,1425387,MEXICO,7856,11065408330117075117,"53.980,00","7.017,40"
"lunes, 03/03/2025",Issued,17:14:58,Issued,1425387,UNITED STATES,00020-00007904,11065408330117080716,"340.910,00","44.318,30"
"martes, 04/03/2025",Issued,11:49:49,Issued,1425387,AFGHANISTAN,00020-00007911,11065408330117081244,"32.980,00","4.287,40"
"jueves, 06/03/2025",Issued,11:52:54,Issued,1425387,UNITED STATES,7927,11065408330117083051,"107.980,00","14.037,40"
"sábado, 08/03/2025",Issued,16:07:32,Processed by Global Blue,1425387,MEXICO,7946,11065408330117087859,"165.900,00","21.567,00"
"sábado, 08/03/2025",Issued,16:26:49,Processed by Global Blue,1425387,MEXICO,7948,11065408330117087973,"279.990,00","36.398,70"
"lunes, 10/03/2025",Issued,12:08:05,Processed by Global Blue,1425387,UNITED STATES,00020-00007969,11065408330117090593,"563.860,00","78.940,40"
"lunes, 10/03/2025",Issued,12:37:02,Processed by Global Blue,1425387,UNITED STATES,00020-00007973,11065408330117090636,"299.950,00","38.993,50"
"lunes, 10/03/2025",Issued,14:10:21,Processed by Global Blue,1425387,UNITED STATES,00020-00007974,11065408330117090731,"27.980,00","3.637,40"
"miércoles, 12/03/2025",Issued,15:02:28,Issued,1425387,BRAZIL,7981,11065408330117092405,"39.990,00","5.198,70"
"viernes, 14/03/2025",Issued,14:38:08,Issued,1425387,UNITED STATES,7996,11065408330117094596,"209.970,00","27.296,10"
"viernes, 14/03/2025",Issued,14:41:23,Issued,1425387,UNITED STATES,7997,11065408330117094605,"30.980,00","4.027,40"
"sábado, 15/03/2025",Issued,12:46:13,Issued,1425387,SPAIN,00020-00008006,11065408330117095699,"49.990,00","6.498,70"
"domingo, 16/03/2025",Issued,11:06:31,Refunded by Global Blue,1425387,GERMANY,8015,11065408330117096956,"331.980,00","43.157,40"
"domingo, 16/03/2025",Issued,14:02:35,Processed by Global Blue,1425387,MEXICO,8016,11065408330117097348,"134.980,00","17.547,40"
"martes, 18/03/2025",Issued,21:06:47,Issued,1425387,GERMANY,8045,11065408330117100076,"119.990,00","15.598,70"
"viernes, 21/03/2025",Issued,11:14:44,Processed by Global Blue,1425387,SWITZERLAND,8064,11065408330117102439,"185.980,00","24.177,40"
"viernes, 21/03/2025",Issued,15:44:01,Issued,1425387,TURKEY,8069,11065408330117102965,"399.960,00","55.994,40"
"viernes, 21/03/2025",Issued,16:03:35,Issued,1425387,TURKEY,8071,11065408330117103021,"189.990,00","24.698,70"
"viernes, 21/03/2025",Issued,16:06:24,Issued,1425387,AFGHANISTAN,8070,11065408330117103032,"211.980,00","27.557,40"
"viernes, 21/03/2025",Issued,16:12:58,Issued,1425387,TURKEY,8072,11065408330117103066,"109.970,00","14.296,10"
"domingo, 23/03/2025",Issued,16:01:52,Issued,1425387,UNITED STATES,00020-00008093,11065408330117106265,"521.930,00","73.070,20"
"domingo, 23/03/2025",Issued,16:13:41,Refunded by Global Blue,1425387,AUSTRALIA,00020-00008095,11065408330117106323,"129.980,00","16.897,40"
"miércoles, 26/03/2025",Issued,17:17:00,Processed by Global Blue,1425387,UNITED KINGDOM,8118,11065408330117110845,"399.990,00","55.998,60"
"miércoles, 26/03/2025",Issued,17:29:31,Processed by Global Blue,1425387,UNITED KINGDOM,8119,11065408330117110878,"127.980,00","16.637,40"
