WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"jueves, 26/12/2024",Voided,10:45:20,Voided,1421411,VENEZUELA,Jsjsjs,11065408317117017621,"100,00","13,00"
"jueves, 26/12/2024",Voided,11:09:14,Voided,1421411,VENEZUELA,56-00017078,11065408317117017684,"100,00","13,00"
"viernes, 27/12/2024",Issued,12:02:00,Issued,1421411,UNITED KINGDOM,00017092,11065408317117019047,"56.980,00","7.407,40"
"viernes, 27/12/2024",Issued,14:15:40,Issued,1421411,UNITED STATES,00017095,11065408317117019204,"145.980,00","18.977,40"
"viernes, 27/12/2024",Issued,19:27:08,Issued,1421411,UNITED STATES,02,11065408317117020059,"429.970,00","60.195,80"
"domingo, 29/12/2024",Issued,12:49:14,Issued,1421411,ECUADOR,0200017121,11065408317117021556,"35.970,00","4.676,10"
"domingo, 29/12/2024",Issued,13:52:28,Issued,1421411,MEXICO,0200017129,11065408317117021616,"191.970,00","24.956,10"
"domingo, 29/12/2024",Issued,14:49:33,Issued,1421411,COLOMBIA,0200017134,11065408317117021745,"146.980,00","19.107,40"
"domingo, 29/12/2024",Issued,16:42:04,Processed by Global Blue,1421411,UNITED STATES,0200017142,11065408317117021980,"206.980,00","26.907,40"
"lunes, 30/12/2024",Issued,11:57:10,Processed by Global Blue,1421411,PERU,0200017157,11065408317117022771,"112.990,00","14.688,70"
"lunes, 30/12/2024",Issued,16:34:01,Processed by Global Blue,1421411,UNITED STATES,0200017167,11065408317117023734,"399.990,00","55.998,60"
"viernes, 03/01/2025",Issued,11:51:01,Issued,1421411,UNITED STATES,0200017217,11065408317117027906,"30.970,00","4.026,10"
"sábado, 04/01/2025",Issued,15:46:28,Issued,1422079,PERU,17241,11065408317117030097,"65.990,00","8.578,70"
"sábado, 04/01/2025",Issued,15:49:35,Processed by Global Blue,1421411,PERU,0217242,11065408317117030130,"65.990,00","8.578,70"
"sábado, 04/01/2025",Issued,17:38:40,Issued,1421411,MEXICO,0217247,11065408317117030520,"97.980,00","12.737,40"
"sábado, 04/01/2025",Issued,18:34:31,Issued,1421411,BOLIVIA,0217248,11065408317117030729,"117.990,00","15.338,70"
"martes, 07/01/2025",Issued,13:18:31,Issued,1421411,UNITED STATES,0217299,11065408317117033816,"22.980,00","2.987,40"
"miércoles, 08/01/2025",Issued,9:38:49,Issued,1421411,CANADA,002017312,11065408317117034868,"269.960,00","35.094,80"
"miércoles, 08/01/2025",Issued,14:37:18,Processed by Global Blue,1421411,FINLAND,00017322,11065408317117035309,"325.990,00","42.378,70"
"jueves, 09/01/2025",Issued,15:32:09,Processed by Global Blue,1421411,UNITED STATES,00017335,11065408317117036493,"215.960,00","28.074,80"
"jueves, 09/01/2025",Issued,16:14:29,Processed by Global Blue,1421411,FRANCE,00017337,11065408317117036558,"171.990,00","22.358,70"
"jueves, 09/01/2025",Issued,16:23:07,Processed by Global Blue,1421411,UNITED STATES,00017336,11065408317117036589,"75.990,00","9.878,70"
"domingo, 12/01/2025",Issued,13:17:40,Processed by Global Blue,1421411,BRAZIL,0217373,11065408317117039033,"139.980,00","18.197,40"
"domingo, 12/01/2025",Issued,13:30:30,Refunded by Global Blue,1421411,PERU,0217375,11065408317117039046,"94.990,00","12.348,70"
"domingo, 12/01/2025",Issued,13:32:03,Processed by Global Blue,1421411,PERU,0217376,11065408317117039051,"39.990,00","5.198,70"
"domingo, 12/01/2025",Issued,14:34:06,Issued,1421411,COSTA RICA,00017382,11065408317117039149,"139.990,00","18.198,70"
"domingo, 12/01/2025",Issued,14:56:34,Processed by Global Blue,1421411,PERU,0217384,11065408317117039196,"165.990,00","21.578,70"
"domingo, 12/01/2025",Issued,15:01:22,Processed by Global Blue,1421411,PERU,00017385,11065408317117039203,"165.990,00","21.578,70"
"domingo, 12/01/2025",Issued,16:04:54,Processed by Global Blue,1421411,BRAZIL,020017390,11065408317117039316,"229.980,00","29.897,40"
"martes, 14/01/2025",Issued,16:58:32,Processed by Global Blue,1421411,PERU,0217414,11065408317117040961,"65.990,00","8.578,70"
"miércoles, 15/01/2025",Issued,17:16:09,Issued,1421411,ROMANIA,17429,11065408317117041669,"59.990,00","7.798,70"
"miércoles, 15/01/2025",Issued,17:27:57,Processed by Global Blue,1421411,UNITED ARAB EMIRATES,0217432,11065408317117041676,"496.950,00","69.573,00"
"viernes, 17/01/2025",Issued,14:32:19,Processed by Global Blue,1421411,UNITED STATES,0217460,11065408317117042908,"189.990,00","24.698,70"
"viernes, 17/01/2025",Issued,19:28:46,Issued,1421411,UNITED STATES,00017464,11065408317117043225,"90.980,00","11.827,40"
"sábado, 18/01/2025",Issued,12:03:13,Issued,1421411,CHILE,0217467,11065408317117043406,"61.990,00","8.058,70"
"domingo, 19/01/2025",Issued,13:05:41,Issued,1421411,CHILE,00017492,11065408317117044214,"19.980,00","2.597,40"
