WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"domingo, 1/6/2025",Issued,15:02:40,Issued,1421411,PERU,0200018944,11065408317117199290,"14,990.00","1,948.70"
"domingo, 1/6/2025",Issued,18:39:59,Issued,1421411,UNITED STATES,00018954,11065408317117199634,"399,990.00","55,998.60"
"jueves, 5/6/2025",Issued,18:31:20,Issued,1421411,NORWAY,00018983,11065408317117202691,"71,990.00","9,358.70"
"sábado, 7/6/2025",Issued,11:25:39,Issued,1421411,COLOMBIA,00018994,11065408317117204544,"89,990.00","11,698.70"
"sábado, 7/6/2025",Issued,11:37:55,Processed by Global Blue,1421411,CHINA,020018995,11065408317117204559,"244,980.00","31,847.40"
"sábado, 7/6/2025",Issued,12:23:31,Issued,1421411,BRAZIL,0200018996,11065408317117204730,"189,990.00","24,698.70"
"sábado, 7/6/2025",Issued,18:54:40,Processed by Global Blue,1421411,CHILE,0200019001,11065408317117206002,"79,990.00","10,398.70"
"domingo, 8/6/2025",Issued,10:18:47,Issued,1421411,PERU,00019003,11065408317117206416,"52,960.00","6,884.80"
"domingo, 8/6/2025",Issued,10:21:24,Issued,1421411,PERU,00019002,11065408317117206437,"65,990.00","8,578.70"
"domingo, 8/6/2025",Issued,14:06:04,Processed by Global Blue,1421411,BELGIUM,00019011,11065408317117206798,"151,970.00","19,756.10"
"domingo, 8/6/2025",Issued,14:59:55,Issued,1421411,GUATEMALA,0200019014,11065408317117206877,"169,980.00","22,097.40"
"lunes, 9/6/2025",Issued,18:23:46,Processed by Global Blue,1421411,MEXICO,00019023,11065408317117208404,"89,990.00","11,698.70"
"lunes, 9/6/2025",Issued,18:28:00,Processed by Global Blue,1421411,MEXICO,00019024,11065408317117208415,"44,990.00","5,848.70"
"miércoles, 11/6/2025",Issued,17:18:06,Issued,1421411,"KOREA, REPUBLIC OF",0200019036,11065408317117209861,"112,990.00","14,688.70"
"jueves, 12/6/2025",Issued,13:32:56,Processed by Global Blue,1421411,ECUADOR,9200019039,11065408317117210366,"234,960.00","30,544.80"
"viernes, 13/6/2025",Issued,14:44:23,Processed by Global Blue,1421411,MEXICO,0200019042,11065408317117211403,"383,970.00","53,755.80"
"viernes, 13/6/2025",Issued,15:29:11,Issued,1421411,ITALY,020019043,11065408317117211488,"273,880.00","35,604.40"
"viernes, 13/6/2025",Issued,16:47:21,Issued,1421411,GERMANY,00019044,11065408317117211691,"113,990.00","14,818.70"
"viernes, 13/6/2025",Issued,17:42:27,Issued,1421411,UNITED STATES,00019045,11065408317117211875,"89,990.00","11,698.70"
"viernes, 13/6/2025",Issued,17:45:34,Issued,1421411,UNITED STATES,00019046,11065408317117211899,"12,990.00","1,688.70"
"sábado, 14/6/2025",Issued,19:24:57,Issued,1421411,PERU,0200019065,11065408317117213437,"14,990.00","1,948.70"
