Tienda	WeekdayName	IssuingDate	IssuedStatus	IssuingTime	TFSStatus	DeskID	TouristCountry	InvoiceNumber	TotalGrossAmount	TotalRefundAmount
San Telmo	miércoles	 1/10/2025	Issued	15:25:38	Processed by Global Blue	1454538	ECUADOR	1500682	11990	1558,7
San Telmo	viernes	 3/10/2025	Issued	14:19:31	Issued	1454538	ECUADOR	150694	124990	16248,7
San Telmo	viernes	 3/10/2025	Issued	14:35:03	Processed by Global Blue	1454538	ISRAEL	150696	227970	29636,1
San Telmo	sábado	 4/10/2025	Issued	11:41:15	Issued	1454538	HONDURAS	1500000702	524930	73490,2
San Telmo	sábado	 4/10/2025	Issued	11:46:54	Issued	1454538	PERU	1500000703	184990	24048,7
San Telmo	domingo	 5/10/2025	Issued	11:22:40	Issued	1454538	COSTA RICA	150000706	240980	31327,4
San Telmo	domingo	 5/10/2025	Issued	11:43:25	Processed by Global Blue	1454538	PORTUGAL	150000707	59990	7798,7
San Telmo	domingo	 5/10/2025	Issued	14:59:00	Issued	1454538	MEXICO	150000716	212980	27687,4
San Telmo	domingo	 5/10/2025	Issued	15:09:23	Issued	1454538	KOREA, REPUBLIC OF	150000717	76980	10007,4
San Telmo	domingo	 5/10/2025	Issued	17:44:38	Issued	1454538	ECUADOR	1500000722	161960	21054,8
San Telmo	jueves	 9/10/2025	Issued	13:14:27	Issued	1454538	UNITED STATES	1500000745	29990	3898,7
San Telmo	viernes	 10/10/2025	Issued	17:54:31	Issued	1454538	CHINA	150000762	79990	10398,7
San Telmo	sábado	 11/10/2025	Issued	14:36:12	Processed by Global Blue	1454538	UNITED STATES	1500000768	131980	17157,4
San Telmo	sábado	 11/10/2025	Issued	15:43:27	Issued	1454538	AUSTRALIA	1500000772	266950	34703,5
San Telmo	sábado	 11/10/2025	Issued	16:21:33	Issued	1454538	COLOMBIA	150000777	195980	25477,4
San Telmo	sábado	 11/10/2025	Issued	17:33:08	Issued	1454538	RUSSIAN FEDERATION	150000779	16990	2208,7
San Telmo	domingo	 12/10/2025	Issued	12:07:46	Issued	1454538	KOREA, REPUBLIC OF	150000791	154990	20148,7
San Telmo	domingo	 12/10/2025	Issued	12:11:22	Processed by Global Blue	1454538	UNITED STATES	150000792	199990	25998,7
San Telmo	domingo	 12/10/2025	Issued	12:15:57	Processed by Global Blue	1454538	BRAZIL	15000794	64990	8448,7
San Telmo	domingo	 12/10/2025	Issued	12:42:17	Issued	1454538	BRAZIL	1500000798	95990	12478,7
San Telmo	domingo	 12/10/2025	Issued	12:44:20	Issued	1454538	BRAZIL	15000800	25980	3377,4
San Telmo	lunes	 13/10/2025	Issued	11:37:09	Processed by Global Blue	1454538	CHILE	150819	95990	12478,7
San Telmo	lunes	 13/10/2025	Issued	14:49:37	Issued	1454538	ALBANIA	150824	47960	6234,8
San Telmo	lunes	 13/10/2025	Issued	14:52:24	Issued	1454538	PERU	150825	79990	10398,7
San Telmo	martes	 14/10/2025	Issued	17:58:21	Processed by Global Blue	1454538	COSTA RICA	1500000833	99990	12998,7
San Telmo	miércoles	 15/10/2025	Issued	13:00:25	Issued	1454538	BRAZIL	1500000835	134980	17547,4
