WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"jueves, 26/12/2024",Issued,14:50:29,Issued,1421412,UNITED STATES,00120619,11065408316117018161,"95.990,00","12.478,70"
"jueves, 26/12/2024",Issued,18:18:09,Issued,1421412,PERU,00120621,11065408316117018637,"231.980,00","30.157,40"
"jueves, 26/12/2024",Voided,11:01:28,Voided,1421412,VENEZUELA,1234,11065408316117017648,"100,00","13,00"
"viernes, 27/12/2024",Issued,15:21:32,Issued,1421412,COLOMBIA,00120623,11065408316117019343,"109.990,00","14.298,70"
"sábado, 28/12/2024",Issued,12:35:14,Processed by Global Blue,1421412,UNITED STATES,00120624,11065408316117020383,"223.990,00","29.118,70"
"martes, 31/12/2024",Issued,16:41:35,Issued,1421412,MEXICO,0200017186,11065408316117025818,"116.980,00","15.207,40"
"sábado, 04/01/2025",Issued,15:31:07,Issued,1421412,PERU,0717242,11065408316117030030,"65.990,00","8.578,70"
"sábado, 04/01/2025",Issued,15:32:46,Issued,1421412,PERU,17242,11065408316117030048,"65.990,00","8.578,70"
"sábado, 04/01/2025",Voided,11:56:30,Voided,1421412,SPAIN,01700005936,11065408316117029471,"109.990,00","14.298,70"
"sábado, 04/01/2025",Voided,12:01:46,Voided,1421412,SPAIN,01700005936,11065408316117029485,"109.990,00","14.298,70"
"viernes, 10/01/2025",Issued,15:02:02,Issued,1421412,ROMANIA,0700120651,11065408316117037392,"399.990,00","55.998,60"
"viernes, 10/01/2025",Voided,14:56:58,Voided,1421412,ROMANIA,0700120651,11065408316117037363,"399.990,00","55.998,60"
"sábado, 11/01/2025",Issued,16:26:59,Issued,1421412,MEXICO,07,11065408316117038586,"299.990,00","38.998,70"
"domingo, 12/01/2025",Issued,16:02:55,Processed by Global Blue,1421412,BRAZIL,0700120653,11065408316117039303,"26.990,00","3.508,70"
"sábado, 01/02/2025",Issued,13:58:22,Issued,1422658,AUSTRALIA,0700120670,11065408316117054471,"109.990,00","14.298,70"
"viernes, 07/02/2025",Issued,13:34:41,Processed by Global Blue,1422658,HONG KONG,0700120678,11065408316117058378,"139.980,00","18.197,40"
"lunes, 17/02/2025",Issued,13:46:33,Processed by Global Blue,1422658,UNITED STATES,700120691,11065408316117067350,"26.990,00","3.508,70"
"sábado, 22/02/2025",Issued,14:30:05,Issued,1422658,UNITED STATES,0700120698,11065408316117071998,"34.990,00","4.548,70"
"sábado, 22/02/2025",Issued,14:33:07,Issued,1422658,UNITED STATES,07120699,11065408316117072012,"79.980,00","10.397,40"
"domingo, 23/02/2025",Issued,11:15:31,Processed by Global Blue,1422658,SPAIN,0700120704,11065408316117072678,"99.990,00","12.998,70"
"domingo, 23/02/2025",Issued,13:42:33,Refunded by Global Blue,1422658,BRAZIL,700120705,11065408316117072943,"171.990,00","22.358,70"
"viernes, 28/02/2025",Issued,12:01:42,Refunded by Global Blue,1422658,CANADA,0700120711,11065408316117077209,"89.990,00","11.698,70"
"viernes, 28/02/2025",Issued,12:54:52,Refunded by Global Blue,1422658,MALAYSIA,0700120712,11065408316117077250,"13.990,00","1.818,70"
"sábado, 01/03/2025",Issued,14:11:40,Issued,1422658,SPAIN,0700120713,11065408316117078244,"165.990,00","21.578,70"
"sábado, 01/03/2025",Issued,14:15:16,Issued,1422658,SPAIN,07001201714,11065408316117078259,"165.990,00","21.578,70"
"domingo, 02/03/2025",Issued,17:16:38,Issued,1422658,NETHERLANDS,0700120719,11065408316117079500,"125.990,00","16.378,70"
