WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"jueves, 7/8/2025",Issued,13:56:33,Processed by Global Blue,1422658,UNITED STATES,01700000018,11065408413117280791,"359,900.00","50,386.00"
"jueves, 7/8/2025",Issued,14:21:43,Issued,1422658,BRAZIL,01700000019,11065408413117280886,"84,990.00","11,048.70"
"viernes, 8/8/2025",Issued,15:46:54,Processed by Global Blue,1422658,UNITED STATES,0170000022,11065408413117282487,"151,950.00","19,753.50"
"martes, 12/8/2025",Issued,13:44:40,Issued,1422658,MEXICO,1700000030,11065408413117287610,"149,970.00","19,496.10"
"martes, 12/8/2025",Issued,13:47:03,Issued,1422658,MEXICO,1700000031,11065408413117287634,"41,990.00","5,458.70"
"sábado, 16/8/2025",Issued,17:29:59,Issued,1422658,MEXICO,1700000041,11065408413117294989,"174,980.00","22,747.40"
"domingo, 17/8/2025",Issued,13:21:21,Issued,1422658,BRAZIL,1700000047,11065408413117296067,"219,990.00","28,598.70"
"domingo, 17/8/2025",Issued,13:34:10,Issued,1422658,BRAZIL,1700000048,11065408413117296112,"69,990.00","9,098.70"
"lunes, 18/8/2025",Issued,13:22:43,Issued,1422658,CHINA,01700051,11065408413117297659,"229,970.00","29,896.10"
"sábado, 23/8/2025",Issued,14:44:40,Issued,1422658,EL SALVADOR,0170000067,11065408413117306367,"199,980.00","25,997.40"
"sábado, 23/8/2025",Issued,14:47:16,Issued,1422658,EL SALVADOR,01700000068,11065408413117306380,"89,980.00","11,697.40"
"jueves, 28/8/2025",Issued,13:36:17,Processed by Global Blue,1422658,UNITED STATES,17,11065408413117314204,"34,990.00","4,548.70"
"viernes, 29/8/2025",Issued,15:46:50,Issued,1422658,UNITED STATES,017082,11065408413117315990,"99,990.00","12,998.70"
"sábado, 30/8/2025",Issued,14:47:04,Issued,1422658,FRANCE,017089,11065408413117317460,"124,980.00","16,247.40"
"sábado, 30/8/2025",Issued,15:02:35,Issued,1422658,SWEDEN,017090,11065408413117317544,"309,960.00","40,294.80"
"sábado, 30/8/2025",Issued,16:12:01,Issued,1422658,PERU,1700000091,11065408413117317690,"54,990.00","7,148.70"
"domingo, 31/8/2025",Issued,13:02:39,Issued,1422658,UNITED STATES,1700000094,11065408413117318937,"225,990.00","29,378.70"
"domingo, 31/8/2025",Issued,13:05:46,Issued,1422658,UNITED STATES,1700000093,11065408413117318944,"54,990.00","7,148.70"
"domingo, 31/8/2025",Issued,14:30:41,Issued,1422658,UNITED STATES,1700000096,11065408413117319231,"44,990.00","5,848.70"
"domingo, 31/8/2025",Issued,16:35:57,Issued,1422658,UNITED STATES,017097,11065408413117319573,"429,990.00","60,198.60"

