Tienda	WeekdayName	IssuingDate	IssuedStatus	IssuingTime	TFSStatus	DeskID	TouristCountry	InvoiceNumber	TotalGrossAmount	TotalRefundAmount
San Telmo 2	sábado	 4/10/2025	Issued	17:34:18	Processed by Global Blue	1422658	INDIA	1700000227	159990	20798,7
San Telmo 2	sábado	 4/10/2025	Issued	17:45:50	Issued	1422658	COSTA RICA	170000228	99990	12998,7
San Telmo 2	domingo	 5/10/2025	Issued	14:18:23	Issued	1422658	COLOMBIA	1700000233	154980	20147,4
San Telmo 2	domingo	 5/10/2025	Issued	18:01:04	Processed by Global Blue	1422658	VENEZUELA	1700237	99990	12998,7
San Telmo 2	martes	 7/10/2025	Issued	13:34:57	Issued	1422658	UNITED STATES	1700000244	74990	9748,7
San Telmo 2	viernes	 10/10/2025	Issued	16:29:39	Issued	1422658	MEXICO	1700000254	299970	38996,1
San Telmo 2	sábado	 11/10/2025	Issued	17:03:57	Processed by Global Blue	1422658	IRELAND	1700000258	37980	4937,4
San Telmo 2	domingo	 12/10/2025	Issued	13:46:02	Issued	1422658	BRAZIL	1700000265	154990	20148,7
San Telmo 2	lunes	 13/10/2025	Issued	12:38:36	Issued	1422658	ISRAEL	017-0269	99990	12998,7
San Telmo 2	jueves	 16/10/2025	Issued	13:48:45	Issued	1422658	UNITED STATES	1700000282	69990	9098,7
San Telmo 2	viernes	 17/10/2025	Issued	16:57:47	Issued	1422658	FRANCE	1700000286	99990	12998,7
San Telmo 2	sábado	 18/10/2025	Issued	14:35:29	Processed by Global Blue	1422658	MEXICO	170288	99990	12998,7
San Telmo 2	sábado	 18/10/2025	Issued	14:37:35	Processed by Global Blue	1422658	VENEZUELA	170289	99990	12998,7
San Telmo 2	domingo	 19/10/2025	Issued	18:27:31	Issued	1422658	BRAZIL	170301	112980	14687,4
San Telmo 2	miércoles	 22/10/2025	Issued	11:31:58	Issued	1422658	UNITED STATES	1700000310	116960	15204,8
San Telmo 2	viernes	 24/10/2025	Issued	18:55:43	Processed by Global Blue	1422658	UNITED STATES	17000000306	199990	25998,7
