WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"domingo, 1/3/2026",Issued,16:00:38,Processed by Global Blue,1422658,UNITED STATES,51390,11065408413117633682,"219,990.00","28,598.70"
"miércoles, 4/3/2026",Issued,16:10:28,Processed by Global Blue,1422658,UNITED STATES,39751,11065408413117636850,"69,990.00","9,098.70"
"jueves, 5/3/2026",Issued,18:17:09,Processed by Global Blue,1422658,COLOMBIA,40051,11065408413117638485,"159,990.00","20,798.70"
"viernes, 6/3/2026",Issued,14:02:41,Issued,1422658,BELGIUM,51402,11065408413117639203,"219,990.00","28,598.70"
"domingo, 8/3/2026",Issued,17:07:28,Processed by Global Blue,1422658,CHILE,51415,11065408413117642782,"349,980.00","45,497.40"
"lunes, 9/3/2026",Issued,13:47:01,Issued,1422658,SPAIN,51419,11065408413117643452,"79,990.00","10,398.70"
"lunes, 9/3/2026",Voided,17:12:12,Voided,1422658,UNITED KINGDOM,51421,11065408413117643793,"66,980.00","8,707.40"
"martes, 10/3/2026",Issued,13:41:34,Processed by Global Blue,1422658,MEXICO,051423,11065408413117644618,"255,990.00","33,278.70"
"martes, 10/3/2026",Issued,14:08:00,Issued,1422658,UNITED STATES,51423,11065408413117644656,"191,980.00","24,957.40"
"viernes, 13/3/2026",Issued,12:55:03,Processed by Global Blue,1422658,UNITED STATES,051436,11065408413117648868,"129,990.00","16,898.70"
"viernes, 13/3/2026",Issued,15:38:09,Processed by Global Blue,1422658,SPAIN,51438,11065408413117649390,"99,990.00","12,998.70"
"viernes, 13/3/2026",Issued,15:41:03,Processed by Global Blue,1422658,SPAIN,51437,11065408413117649422,"129,990.00","16,898.70"
"sábado, 14/3/2026",Issued,14:25:38,Issued,1422658,CANADA,51443,11065408413117651179,"129,990.00","16,898.70"
"domingo, 15/3/2026",Issued,11:38:09,Processed by Global Blue,1422658,PARAGUAY,51445,11065408413117652749,"255,990.00","33,278.70"
"domingo, 15/3/2026",Issued,13:42:40,Issued,1422658,BRAZIL,51454,11065408413117653131,"129,990.00","16,898.70"
"domingo, 15/3/2026",Issued,14:39:39,Issued,1422658,UNITED STATES,51456,11065408413117653288,"69,990.00","9,098.70"
"lunes, 16/3/2026",Issued,17:45:33,Issued,1422658,ECUADOR,51461,11065408413117655527,"134,990.00","17,548.70"
"martes, 17/3/2026",Issued,17:30:48,Processed by Global Blue,1422658,SPAIN,51466,11065408413117657132,"229,980.00","29,897.40"
"miércoles, 18/3/2026",Issued,17:47:53,Issued,1422658,PANAMA,51467,11065408413117658797,"44,990.00","5,848.70"
"viernes, 20/3/2026",Issued,11:43:46,Issued,1422658,BRAZIL,51470,11065408413117660879,"99,990.00","12,998.70"
"viernes, 20/3/2026",Issued,15:28:15,Issued,1422658,CHILE,51474,11065408413117661461,"129,990.00","16,898.70"
"sábado, 21/3/2026",Issued,15:41:47,Issued,1422658,UNITED KINGDOM,51480,11065408413117664168,"129,990.00","16,898.70"
"sábado, 21/3/2026",Issued,17:10:17,Refunded by Global Blue,1422658,MEXICO,51481,11065408413117664613,"139,990.00","18,198.70"
"domingo, 22/3/2026",Issued,15:01:49,Issued,1422658,UNITED STATES,51485,11065408413117666344,"459,960.00","64,394.40"
"martes, 24/3/2026",Issued,14:38:53,Issued,1422658,BRAZIL,51492,11065408413117669570,"39,990.00","5,198.70"
"miércoles, 25/3/2026",Issued,11:31:55,Issued,1422658,PERU,51495,11065408413117670444,"279,980.00","36,397.40"
"miércoles, 25/3/2026",Issued,14:26:34,Refunded by Global Blue,1422658,PERU,51496,11065408413117670780,"29,990.00","3,898.70"
"miércoles, 25/3/2026",Issued,14:34:22,Refunded by Global Blue,1422658,PERU,51497,11065408413117670812,"39,990.00","5,198.70"
"sábado, 28/3/2026",Issued,10:10:37,Issued,1422658,BRAZIL,51508,11065408413117675608,"29,990.00","3,898.70"
"sábado, 28/3/2026",Issued,15:31:00,Issued,1422658,CHINA,51513,11065408413117677101,"69,990.00","9,098.70"
"sábado, 28/3/2026",Voided,17:36:07,Voided,1422658,BRAZIL,51514,11065408413117677585,"49,990.00","6,498.70"

